"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"11","2","TISSUES","","Nasal polyp","7.8E-4","DNAH9|DNAH8","12098","12160|12164","4.07E-7","","BTO:0000913","1.0","0"
"12","2","GO Cellular Component","","Outer dynein arm","8.1E-4","DNAH9|DNAH8","12098","12160|12164","4.75E-7","","GO:0036157","0.9947262177920994","0"
"14","2","Pfam","","Dynein heavy chain and region D6 of dynein motor","9.9E-4","DNAH9|DNAH8","12098","12160|12164","6.27E-7","","PF03028","0.9666847671757629","0"
"9","2","Pfam","","Dynein heavy chain, N-terminal region 1","9.9E-4","DNAH9|DNAH8","12098","12160|12164","2.87E-7","","PF08385","0.9666847671757629","0"
"14","2","Pfam","","Dynein heavy chain, N-terminal region 2","9.9E-4","DNAH9|DNAH8","12098","12160|12164","6.27E-7","","PF08393","0.9666847671757629","0"
"14","2","Pfam","","Hydrolytic ATP binding site of dynein motor region D1","9.9E-4","DNAH9|DNAH8","12098","12160|12164","6.27E-7","","PF12774","0.9666847671757629","0"
"14","2","Pfam","","P-loop containing dynein motor region D3","9.9E-4","DNAH9|DNAH8","12098","12160|12164","6.27E-7","","PF12775","0.9666847671757629","0"
"14","2","Pfam","","Microtubule-binding stalk of dynein motor","9.9E-4","DNAH9|DNAH8","12098","12160|12164","6.27E-7","","PF12777","0.9666847671757629","0"
"13","2","Pfam","","P-loop containing dynein motor region D4","9.9E-4","DNAH9|DNAH8","12098","12160|12164","5.48E-7","","PF12780","0.9666847671757629","0"
"13","2","Pfam","","ATP-binding dynein motor region D5","9.9E-4","DNAH9|DNAH8","12098","12160|12164","5.48E-7","","PF12781","0.9666847671757629","0"
"12","2","COMPARTMENTS","","Outer dynein arm","0.0011","DNAH9|DNAH8","12098","12160|12164","4.75E-7","","GOCC:0036157","0.9519618317221012","0"
"15","2","InterPro Domains","","Dynein heavy chain region D6 P-loop domain","0.0013","DNAH9|DNAH8","12098","12160|12164","7.1E-7","","IPR004273","0.9286179206714565","0"
"9","2","InterPro Domains","","Dynein heavy chain, domain-1","0.0013","DNAH9|DNAH8","12098","12160|12164","2.87E-7","","IPR013594","0.9286179206714565","0"
"15","2","InterPro Domains","","Dynein heavy chain, domain-2","0.0013","DNAH9|DNAH8","12098","12160|12164","7.1E-7","","IPR013602","0.9286179206714565","0"
"15","2","InterPro Domains","","Dynein heavy chain, AAA module D4","0.0013","DNAH9|DNAH8","12098","12160|12164","7.1E-7","","IPR024317","0.9286179206714565","0"
"14","2","InterPro Domains","","Dynein heavy chain, coiled coil stalk","0.0013","DNAH9|DNAH8","12098","12160|12164","6.27E-7","","IPR024743","0.9286179206714565","0"
"7","2","InterPro Domains","","Dynein heavy chain","0.0013","DNAH9|DNAH8","12098","12160|12164","1.88E-7","","IPR026983","0.9286179206714565","0"
"15","2","InterPro Domains","","Dynein heavy chain, hydrolytic ATP-binding dynein motor region","0.0013","DNAH9|DNAH8","12098","12160|12164","7.1E-7","","IPR035699","0.9286179206714565","0"
"13","2","InterPro Domains","","Dynein heavy chain, ATP-binding dynein motor region","0.0013","DNAH9|DNAH8","12098","12160|12164","5.48E-7","","IPR035706","0.9286179206714565","0"
"15","2","InterPro Domains","","Dynein heavy chain, C-terminal domain","0.0013","DNAH9|DNAH8","12098","12160|12164","7.1E-7","","IPR041228","0.9286179206714565","0"
"14","2","InterPro Domains","","Dynein heavy chain, AAA 5 extension domain","0.0013","DNAH9|DNAH8","12098","12160|12164","6.27E-7","","IPR041466","0.9286179206714565","0"
"12","2","InterPro Domains","","Dynein heavy chain 3, AAA+ lid domain","0.0013","DNAH9|DNAH8","12098","12160|12164","4.75E-7","","IPR041589","0.9286179206714565","0"
