"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"4","2","GO Molecular Function","","G-protein activated inward rectifier potassium channel activity","2.5E-4","KCNJ3|KCNJ5","12348","12409|12438","7.84E-8","","GO:0015467","1.0","0"
"4","2","GO Molecular Function","","Voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization","2.5E-4","KCNJ3|KCNJ5","12348","12409|12438","7.84E-8","","GO:0086089","1.0","0"
"6","2","GO Molecular Function","","Voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization","2.5E-4","KCNJ3|KCNJ5","12348","12409|12438","1.46E-7","","GO:1902282","1.0","0"
"9","2","COMPARTMENTS","","Inward rectifier potassium channel complex","4.3E-4","KCNJ3|KCNJ5","12348","12409|12438","2.87E-7","","GOCC:1902937","0.9346128472389164","0"
"7","2","COMPARTMENTS","","Kir2 inward rectifier potassium channel complex","4.3E-4","KCNJ3|KCNJ5","12348","12409|12438","1.88E-7","","GOCC:1990374","0.9346128472389164","0"
"7","2","STRING Clusters","","GPCR family 3, GABA-B receptor, and G-protein activated inward rectifier potassium channel activity","8.5E-4","KCNJ3|KCNJ5","12348","12409|12438","1.88E-7","","CL:23872","0.852451397721914","0"
"5","2","GO Biological Process","","Membrane repolarization during atrial cardiac muscle cell action potential","0.0014","KCNJ3|KCNJ5","12348","12409|12438","1.1E-7","","GO:0098914","0.7922888489343655","0"
"16","2","Pfam","","Inward rectifier potassium channel","0.0028","KCNJ3|KCNJ5","12348","12409|12438","7.99E-7","","PF01007","0.7087172270322546","0"
"38","2","GO Biological Process","","Regulation of heart rate by cardiac conduction","0.0037","KCNJ3|KCNJ5","12348","12409|12438","4.07E-6","","GO:0086091","0.6751132079386829","0"
"92","2","KEGG Pathways","","Circadian entrainment","0.0037","KCNJ3|KCNJ5","12348","12409|12438","2.28E-5","","hsa04713","0.6751132079386829","0"
"145","2","KEGG Pathways","","Retrograde endocannabinoid signaling","0.0037","KCNJ3|KCNJ5","12348","12409|12438","5.61E-5","","hsa04723","0.6751132079386829","0"
"108","2","KEGG Pathways","","Serotonergic synapse","0.0037","KCNJ3|KCNJ5","12348","12409|12438","3.13E-5","","hsa04726","0.6751132079386829","0"
"128","2","KEGG Pathways","","Dopaminergic synapse","0.0037","KCNJ3|KCNJ5","12348","12409|12438","4.38E-5","","hsa04728","0.6751132079386829","0"
"133","2","KEGG Pathways","","Estrogen signaling pathway","0.0037","KCNJ3|KCNJ5","12348","12409|12438","4.72E-5","","hsa04915","0.6751132079386829","0"
"149","2","KEGG Pathways","","Oxytocin signaling pathway","0.0037","KCNJ3|KCNJ5","12348","12409|12438","5.92E-5","","hsa04921","0.6751132079386829","0"
"63","2","KEGG Pathways","","GnRH secretion","0.0037","KCNJ3|KCNJ5","12348","12409|12438","1.09E-5","","hsa04929","0.6751132079386829","0"
"89","2","KEGG Pathways","","Morphine addiction","0.0037","KCNJ3|KCNJ5","12348","12409|12438","2.14E-5","","hsa05032","0.6751132079386829","0"
"43","2","GO Biological Process","","Potassium ion import across plasma membrane","0.004","KCNJ3|KCNJ5","12348","12409|12438","5.17E-6","","GO:1990573","0.6657135123915565","0"
"29","2","Reactome Pathways","","Activation of G protein gated Potassium channels","0.0053","KCNJ3|KCNJ5","12348","12409|12438","2.43E-6","","HSA-1296041","0.6317840724135817","0"
"29","2","Reactome Pathways","","Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits","0.0053","KCNJ3|KCNJ5","12348","12409|12438","2.43E-6","","HSA-997272","0.6317840724135817","0"
"16","2","InterPro Domains","","Potassium channel, inwardly rectifying, Kir, cytoplasmic","0.0054","KCNJ3|KCNJ5","12348","12409|12438","7.99E-7","","IPR013518","0.6295303925077157","0"
"16","2","InterPro Domains","","Potassium channel, inwardly rectifying, Kir","0.0054","KCNJ3|KCNJ5","12348","12409|12438","7.99E-7","","IPR016449","0.6295303925077157","0"
"16","2","InterPro Domains","","Potassium channel, inwardly rectifying, transmembrane domain","0.0054","KCNJ3|KCNJ5","12348","12409|12438","7.99E-7","","IPR040445","0.6295303925077157","0"
"16","2","InterPro Domains","","Inward rectifier potassium channel, C-terminal","0.0054","KCNJ3|KCNJ5","12348","12409|12438","7.99E-7","","IPR041647","0.6295303925077157","0"
"67","2","COMPARTMENTS","","Voltage-gated potassium channel complex","0.0094","KCNJ3|KCNJ5","12348","12409|12438","1.23E-5","","GOCC:0008076","0.5626980536915098","0"
"77","2","COMPARTMENTS","","Potassium channel complex","0.0094","KCNJ3|KCNJ5","12348","12409|12438","1.61E-5","","GOCC:0034705","0.5626980536915098","0"
"54","2","GO Cellular Component","","T-tubule","0.0137","KCNJ3|KCNJ5","12348","12409|12438","8.04E-6","","GO:0030315","0.5172816214414748","0"
"82","2","GO Cellular Component","","Voltage-gated potassium channel complex","0.0155","KCNJ3|KCNJ5","12348","12409|12438","1.82E-5","","GO:0008076","0.5023981572174046","0"
"120","2","UniProt Keywords","","Potassium transport","0.0261","KCNJ3|KCNJ5","12348","12409|12438","3.86E-5","","KW-0633","0.43957055031667747","0"
"147","2","UniProt Keywords","","Voltage-gated channel","0.0261","KCNJ3|KCNJ5","12348","12409|12438","5.76E-5","","KW-0851","0.43957055031667747","0"
"104","2","InterPro Domains","","Immunoglobulin E-set","0.0394","KCNJ3|KCNJ5","12348","12409|12438","2.91E-5","","IPR014756","0.38991682025168906","0"
"148","2","WikiPathways","","Calcium regulation in cardiac cells","0.0396","KCNJ3|KCNJ5","12348","12409|12438","5.84E-5","","WP536","0.3893063462159339","0"
"193","2","COMPARTMENTS","","Cation channel complex","0.0456","KCNJ3|KCNJ5","12348","12409|12438","9.88E-5","","GOCC:0034703","0.3722967303609979","0"
